LogDate,BENZE,CO,EBEN,HUM,NO,NO2,NOX,O3,PM10,PM2.5,PRES,Rain,SO2,SOL,TEMP,TMP,TOL,WIND,WINDS,XY
7/1/2012 12:00:00 AM,,3860.9,,33.4,29.7,23.3,53.1,,,,855.8,0,,1,8.5,26.1,,112.9,0.1,
7/1/2012 12:10:00 AM,,4502.1,,35.8,40,23,63,,,,855.7,0,,1,8.2,26.2,,180,0,
7/1/2012 12:20:00 AM,,5563.7,,37,39.9,24,63.9,,,,855.5,0,,1,7.7,26.1,,35.7,0.2,
7/1/2012 12:30:00 AM,,4283.6,,36.5,49.2,22.9,72.1,,,,855.4,0,,1,7.4,26.2,,60.6,0.8,
7/1/2012 12:40:00 AM,,3272.2,,36,49.4,21.8,71.2,,,,855.4,0,,1,7.5,26.1,,180,0,
7/1/2012 12:50:00 AM,,4521.2,,38.6,54.4,20.5,74.9,,,,855.4,0,,1,7.3,26.3,,180,0,
7/1/2012 1:00:00 AM,,3414.9,,35.3,34.5,23.1,55.5,,,,855.4,0,,1,7.6,26.2,,120.5,0.9,
7/1/2012 1:10:00 AM,,2416.9,,33.4,7.9,21.8,29.7,,,,855.3,0,,1,8,26.2,,128.2,0.6,
7/1/2012 1:20:00 AM,,4211,,38.9,26.3,22.6,48.9,,,,855.3,0,,1,7.1,26.2,,41.2,0.7,
7/1/2012 1:30:00 AM,,6058.2,,38.8,23.1,23.8,46.9,,,,855.2,0,,1,7,26.4,,0.5,0.1,
7/1/2012 1:40:00 AM,,4796.5,,38,19.7,24.1,43.8,,,,855.2,0,,1,7.1,26.1,,180,0,
7/1/2012 1:50:00 AM,,4743,,37.9,18.7,23.8,42.5,,,,855.1,0,,1,7.2,26.2,,21.2,0.2,
7/1/2012 2:00:00 AM,,4153,,37.5,13.3,23,36.3,,,,855.1,0,,1,7,26.2,,92.6,0.4,
7/1/2012 2:10:00 AM,,3284.6,,33.5,4.9,19,23.9,,,,855,0,,1,7.8,26.2,,121.9,0.8,
7/1/2012 2:20:00 AM,,4000.8,,36.1,13.5,18.1,31.6,,,,855,0,,1,7.7,26.3,,115.2,0.4,
7/1/2012 2:30:00 AM,,4840.5,,41.1,31,21.1,52.1,,,,855,0,,1,6.8,26.2,,180,0,
7/1/2012 2:40:00 AM,,4378.6,,34.9,12.6,22,34.7,,,,855,0,,1,7.4,26.2,,115.8,1.8,
7/1/2012 2:50:00 AM,,3412.5,,32,3.7,19.6,23.4,,,,854.9,0,,1,7.9,26.1,,113.1,2.5,
7/1/2012 3:00:00 AM,,3166.5,,33.1,7.5,22.2,29.7,,,,854.8,0,,1,7.4,26.2,,116.7,1.9,
